년월,노선,구분,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,합계
2019-01,101,승차,29,76,205,318,268,234,250,272,291,292,313,305,314,326,198,179,164,126,11,4171
2019-01,101,하차,11,34,77,116,115,106,106,111,126,119,122,112,117,108,72,58,55,38,2,1605
2019-01,101-1,승차,25,82,208,293,255,228,237,260,266,270,297,298,339,361,238,183,175,143,18,4176
2019-01,101-1,하차,5,22,58,85,83,78,83,85,92,86,90,85,91,98,63,46,42,31,4,1227
2019-01,156,승차,82,245,462,591,450,401,405,478,495,530,543,558,659,731,457,390,381,239,10,8107
2019-01,156,하차,16,50,105,166,151,136,145,168,171,185,199,196,209,232,158,108,106,63,4,2568
2019-01,204,승차,37,99,254,388,287,217,223,272,296,291,319,349,418,481,272,229,223,192,11,4858
2019-01,204,하차,7,34,65,112,99,82,77,86,94,84,89,98,108,135,69,51,46,37,5,1378
2019-01,234,승차,18,75,216,283,214,203,207,257,285,267,295,325,361,421,268,198,216,225,16,4350
2019-01,234,하차,7,24,59,88,77,67,70,76,87,85,91,95,116,117,77,51,47,41,6,1281
2019-01,240,승차,34,66,213,339,238,199,209,229,254,267,284,293,347,417,197,153,154,119,4,4016
2019-01,240,하차,8,17,38,70,69,64,71,69,76,80,86,88,104,125,65,38,34,23,1,1126
2019-01,300,승차,26,53,153,239,170,143,163,189,194,191,203,214,235,259,146,105,109,88,8,2888
2019-01,300,하차,9,13,33,57,48,40,50,60,62,60,65,67,68,79,46,32,30,26,5,850
2019-01,304,승차,41,85,213,392,350,304,310,365,401,419,440,456,516,572,346,296,258,218,14,5996
2019-01,304,하차,15,26,57,118,93,100,101,105,118,124,133,130,137,156,97,67,57,40,4,1678
2019-01,306,승차,53,152,357,604,467,389,387,455,477,491,513,531,615,684,422,340,362,320,32,7651
2019-01,306,하차,17,58,111,176,158,144,142,157,176,168,180,179,193,203,130,84,96,80,13,2465
2019-01,309,승차,52,136,293,537,445,430,460,553,599,580,639,656,685,777,500,394,419,371,39,8565
2019-01,309,하차,11,40,80,135,132,135,160,176,185,189,210,212,216,215,152,108,115,98,16,2585
2019-01,323,승차,32,88,231,397,300,239,254,278,297,299,312,325,392,465,276,226,209,179,19,4818
2019-01,323,하차,11,36,74,129,104,94,97,103,111,111,118,111,135,161,97,70,60,48,6,1676
2019-01,323-1,승차,31,110,251,413,298,237,231,266,281,284,316,333,392,450,286,235,235,205,17,4871
2019-01,323-1,하차,9,35,82,128,109,96,94,104,108,109,115,118,127,144,94,73,67,60,7,1679
2019-01,349,승차,54,136,348,671,505,438,485,593,653,631,685,712,829,923,577,442,460,472,49,9663
2019-01,349,하차,12,57,117,210,170,156,162,186,214,208,219,224,241,273,178,122,121,105,19,2994
2019-01,356,승차,87,285,534,685,520,445,445,490,514,508,551,576,711,794,464,367,344,259,13,8592
2019-01,356,하차,27,102,202,278,219,193,196,201,212,204,216,217,246,281,168,121,105,76,5,3269
2019-01,401,승차,136,306,592,956,908,851,917,992,1021,1027,1094,1078,1119,1162,762,634,633,452,31,14671
2019-01,401,하차,31,107,199,316,294,302,335,353,379,396,414,410,404,401,263,195,185,140,12,5136
2019-01,403,승차,45,131,346,551,392,307,315,347,363,369,392,410,495,560,320,248,277,208,12,6088
2019-01,403,하차,8,40,93,160,139,118,124,132,140,137,153,146,166,201,112,78,86,74,6,2113
2019-01,405,승차,83,192,406,677,593,555,602,684,723,750,809,809,866,944,560,438,401,318,30,10440
2019-01,405,하차,19,62,133,214,194,191,211,228,246,244,266,250,254,259,167,108,97,74,10,3227
2019-01,410,승차,16,51,128,286,233,175,177,214,240,248,246,283,327,394,227,204,237,213,26,3925
2019-01,410,하차,4,16,34,69,65,57,55,66,77,81,86,91,97,109,68,57,64,56,10,1162
2019-01,410-1,승차,14,54,150,343,288,227,232,281,293,288,304,324,374,445,266,224,249,204,16,4576
2019-01,410-1,하차,4,22,47,96,80,66,67,78,85,84,99,100,115,140,92,68,77,78,11,1409
2019-01,413,승차,38,98,244,408,344,296,297,309,338,345,368,400,441,498,309,250,233,198,20,5434
2019-01,413,하차,11,40,82,148,122,108,121,121,126,132,136,136,152,158,101,72,63,52,8,1889
2019-01,425,승차,83,292,574,818,648,567,603,715,779,768,844,883,970,1055,722,626,578,499,32,12056
2019-01,425,하차,19,86,171,236,212,187,211,233,256,255,278,287,295,285,208,163,146,115,11,3654
2019-01,449,승차,22,93,194,324,278,214,232,286,311,292,334,355,404,431,282,203,227,187,18,4687
2019-01,449,하차,3,24,48,88,85,72,78,83,96,92,99,100,101,115,74,50,47,35,5,1295
2019-01,503,승차,107,292,657,1022,761,606,646,743,793,779,870,940,1116,1202,752,626,688,554,48,13202
2019-01,503,하차,25,78,168,245,216,189,199,216,233,232,256,266,304,332,212,160,165,127,17,3640
2019-01,509,승차,52,192,334,588,364,426,394,454,441,473,571,491,622,667,520,372,380,349,10,7700
2019-01,509,하차,14,64,102,175,112,157,161,168,162,161,205,162,203,174,146,106,100,84,6,2462
2019-01,518,승차,109,250,494,796,601,529,556,639,672,686,743,768,903,975,625,546,566,481,50,10989
2019-01,518,하차,29,80,122,206,203,196,208,225,243,237,260,264,293,318,201,159,155,130,23,3552
2019-01,523,승차,42,153,403,492,380,295,320,362,373,371,423,455,550,612,376,287,303,247,20,6464
2019-01,523,하차,6,45,109,146,127,109,107,114,127,118,120,119,131,136,94,63,60,49,6,1786
2019-01,524,승차,61,151,423,585,420,362,392,473,468,484,539,554,620,681,416,340,341,270,22,7602
2019-01,524,하차,16,42,91,152,129,121,133,154,156,152,162,164,166,176,118,82,72,57,9,2152
2019-01,527,승차,136,307,688,971,764,649,676,764,808,811,893,945,1079,1222,747,605,589,478,43,13175
2019-01,527,하차,20,98,180,272,236,224,240,251,271,267,286,278,292,309,202,143,135,109,18,3831
2019-01,564,승차,92,276,562,789,566,477,473,521,565,576,615,670,820,901,551,463,473,336,30,9756
2019-01,564,하차,18,71,135,203,195,169,176,190,207,217,226,238,284,300,198,143,142,108,17,3237
2019-01,600,승차,101,207,389,372,292,285,296,330,315,318,360,369,435,391,277,235,205,154,22,5353
2019-01,600,하차,14,45,86,103,94,104,105,123,116,116,121,123,138,125,83,64,52,38,8,1658
2019-01,609,승차,50,130,276,447,384,351,385,455,471,467,510,518,544,580,381,302,310,260,15,6836
2019-01,609,하차,12,38,80,126,121,119,131,146,162,158,170,165,169,166,126,84,88,70,9,2140
2019-01,618,승차,162,265,519,753,596,551,566,612,635,632,686,677,741,836,502,390,360,264,21,9768
2019-01,618,하차,59,92,181,265,237,222,230,238,243,250,251,234,243,253,163,109,97,68,9,3444
2019-01,623,승차,92,289,644,975,765,716,753,849,913,889,938,975,1045,1117,687,519,545,398,33,13142
2019-01,623,하차,26,95,193,307,281,277,286,291,319,308,319,328,337,342,212,143,144,104,12,4324
2019-01,649,승차,101,174,382,633,551,488,522,595,638,635,694,744,822,875,560,472,502,461,44,9893
2019-01,649,하차,28,60,116,204,197,189,212,223,233,223,247,245,263,258,171,129,136,115,18,3267
2019-01,650,승차,70,178,349,612,482,412,429,482,530,529,593,560,633,707,441,369,365,291,17,8049
2019-01,650,하차,18,59,117,202,169,158,163,172,189,198,201,192,201,217,135,95,96,71,5,2658
2019-01,651,승차,35,154,337,569,409,373,408,464,480,505,548,525,572,630,376,288,287,227,21,7208
2019-01,651,하차,9,56,119,194,143,139,149,174,178,189,196,190,189,199,125,85,81,64,7,2486
2019-01,653,승차,54,172,385,506,375,299,311,365,353,363,385,399,430,486,292,223,214,183,16,5811
2019-01,653,하차,15,61,130,176,137,116,117,133,137,126,126,121,129,139,84,60,49,40,5,1901
2019-01,655,승차,45,196,479,416,193,177,175,193,209,201,231,260,378,384,249,221,143,109,3,4262
2019-01,655,하차,6,36,73,104,70,68,73,75,83,84,86,92,131,146,91,75,46,36,5,1380
2019-01,706,승차,83,228,480,858,660,618,699,782,825,801,885,918,1021,1120,725,613,630,539,49,12534
2019-01,706,하차,24,80,166,282,231,220,235,234,247,244,265,267,288,311,194,146,154,125,17,3730
2019-01,708,승차,70,145,297,448,365,326,336,361,377,393,420,418,463,483,321,274,262,199,14,5972
2019-01,708,하차,12,48,77,116,112,117,127,131,137,146,157,155,156,158,118,88,85,68,12,2020
2019-01,719,승차,100,250,530,680,560,450,490,535,562,547,584,650,774,788,513,383,415,354,26,9191
2019-01,719,하차,21,82,183,229,200,177,180,195,204,204,209,222,248,251,172,120,117,108,15,3137
2019-01,724,승차,127,307,702,1077,736,665,706,834,907,876,989,976,1098,1178,771,598,630,549,42,13768
2019-01,724,하차,34,102,190,312,226,227,250,270,292,286,312,309,320,325,230,160,158,128,13,4144
2019-01,726,승차,138,442,863,1175,889,727,733,839,878,861,961,1060,1240,1374,885,671,661,494,34,14925
2019-01,726,하차,36,157,321,489,393,306,316,341,361,334,365,366,408,423,291,193,176,133,13,5422
2019-01,730,승차,50,120,305,454,389,360,405,445,508,482,543,555,596,633,425,336,321,250,17,7194
2019-01,730,하차,11,40,90,127,123,121,134,136,154,149,165,168,165,176,115,88,81,59,7,2109
2019-01,750,승차,41,134,305,406,259,205,208,242,261,253,288,298,375,452,246,179,168,124,7,4451
2019-01,750,하차,13,53,111,163,115,82,90,98,107,93,97,105,122,141,83,52,47,35,3,1610
2019-01,805,승차,56,160,404,685,503,426,406,457,477,466,510,510,591,670,403,304,320,240,16,7604
2019-01,805,하차,16,47,105,182,175,162,158,174,184,175,193,188,208,221,136,89,86,69,9,2577
2019-01,808,승차,50,150,318,498,408,385,431,461,456,469,473,470,505,507,307,232,235,199,23,6577
2019-01,808,하차,11,51,117,176,171,171,184,198,199,212,208,204,198,193,120,78,76,61,11,2639
2019-01,814,승차,103,274,552,929,698,608,588,657,683,676,720,742,869,905,583,498,539,422,32,11078
2019-01,814,하차,23,87,163,265,239,226,244,264,277,269,295,287,319,322,203,156,179,138,15,3971
2019-01,836,승차,95,250,563,768,612,565,604,673,727,710,772,767,845,872,530,413,402,302,18,10488
2019-01,836,하차,22,84,175,239,204,201,210,236,252,257,289,279,284,289,183,126,116,96,10,3552
2019-01,840,승차,52,136,252,398,321,317,343,402,431,412,452,459,502,483,322,261,327,249,5,6124
2019-01,840,하차,8,44,67,97,98,115,125,138,152,155,168,171,170,157,103,77,84,68,6,2003
2019-01,849,승차,1,17,50,79,54,42,45,50,51,50,58,66,80,78,49,38,41,31,0,880
2019-01,849,하차,0,8,19,25,24,18,20,21,22,22,22,22,30,24,16,11,12,9,0,325
2019-01,849-1,승차,4,18,63,77,53,45,43,54,51,51,58,64,63,93,52,48,48,40,0,925
2019-01,849-1,하차,1,9,23,41,29,21,22,26,19,24,22,25,25,37,21,18,19,12,1,395
2019-01,909,승차,35,98,212,377,311,277,270,310,327,320,361,374,400,467,283,233,245,223,19,5142
2019-01,909,하차,8,38,67,110,102,101,100,116,122,115,129,129,139,163,92,70,73,64,10,1748
2019-01,937,승차,78,262,643,929,780,638,659,738,761,791,836,891,1002,1071,734,640,615,484,31,12583
